str
ANG
ARG
ASH
AUS
AVA
AZU
A_B
BEN
BIG
BLA
BOB
BRA
BUB
CHE
CIN
CLA
COC
CRA
CUD
CYN
DIN
DOL
DRA
DUD
FLI
FOF
FRA
FUI
GOT
GRA
GUI
HUN
JOS
JUB
KIK
KOK
KRB
KUK
KYL
LEO
LIG
LLA
LOC
LUC
LYN
L_X
MAR
MEE
MIC
MOE
MRL
MUG
MYF
NIP
NOI
NUN
PIN
PLU
POK
PRE
PTE
PUF
RIK
ROB
RUB
RYH
SCR
SEB
SHA
SIL
SKE
SLI
SME
SNI
SOF
SPA
SQU
STA
SUG
SWE
SYN
TIG
TOC
TRA
TUF
TWI
TYL
_SN
_TO
__G
